 ,,,,,,,,,,,
"
Clave",Nombre de la herramienta,Instrucciones,Descripción,¿Qué evalúa?,Referencias,Grupo Etario,Población específica,Tiempo aplicativo,No. de ítems,CIE-11,LS
MRS,escala de calificación de la menopausia,"Marque solamente una casilla en cada línea. ¿Cuál de las siguientes molestias siente en
la actualidad y con qué intensidad?", LA ESCALA MRS EVALUA LA CALIDAD DE VIDA EN PERIMENOPAUSIA Y MENOPAUSIA,síntomas de la menopausia,https://hqlo.biomedcentral.com/articles/10.1186/1477-7525-2-45,Mujeres mayores de 40 años,,≤10 minutos,11,GA30,Bienestar físico
ODI,Índice de Discapacidad de Oswestry,"En las siguientes actividades, seleccione la frase que en cada pregunta se parezca más a su situación",Cuestionario de Discapacidad para la Lumbalgia de Oswestry se utiliza para medir el grado de restricciones funcionales provocadas por el dolor en las personas con lumbalgia (dolor de espalda o cadera),Discapacidad para la Lumbalgia,https://www.scielo.org.mx/pdf/cicr/v88n6/2444-054X-cir-88-6-708.pdf,mayores de 18 años,Cualquier pesaona con sospechas de lumbalgia y alguna intervencon quirurgica en zona discal ,≤10 minutos,10,SC61,Bienestar físico
OSA-181,Evaluation of Sleep-Disordered Breathing,,,Evaluación de problemas para respirar durante el sueño,https://www.cenetec-difusion.com/CMGPC/GPC-SS-572-21/ER.pdf,menos de 18 años ,Pediatricos ,≤15,,"7A20, 7A4",Bienestar físico
OSDI,Ocular Disease Surface Index, Contesta a las siguientes preguntas seleccionando  la puntuación que mejor define la frecuencia de tus sintomas,Es un cuestionario que ofrece una valoración rápida de los síntomas de irritación ocular,Establecer el tipo y gravedad del síndrome de ojo seco,https://www.scielo.org.mx/pdf/rmof/v96n6/2604-1227-rmof-96-06-231.pdf,≥ 12 años,Apto para todo publico ,≤10 minutos,12,9A79,Bienestar físico
PAC‐SYM,Patient Assessment of Constipation Symptoms Questionnaire,"Este cuestionario le pregunta sobre su estreñimiento durante las últimas dos semanas. Por favor, responda cada pregunta de acuerdo con sus síntomas, con la mayor exactitud posible",Es un cuestionario que ofrece una valoracion rapida respecto al extreñimiento ,sintomas de estreñimiento,https://eprovide.mapi-trust.org/instruments/patient-assessment-of-constipation-symptoms ,personas con sintomas de estreñimiento,poblacion en general apartir de los 18 años,≤10 minutos,12,DD91.1,Bienestar físico y nutricional
PCS,Pain Catastrophizing Scale,"Estamos interesados en conocer el tipo de pensamientos y sentimientos que usted tiene cuando siente
dolor. A continuación se presenta una lista de trece frases que describen diferentes pensamientos y
sentimientos que pueden estar asociados al dolor. Utilizando la siguiente escala, por favor indique el
grado en que usted tiene esos pensamientos y sentimientos cuando siente dolor.","Se usa para evaluar dolor crónico, ayuda a entender la respuesta emocional y cognitiva al dolor, y tiene versiones abreviadas",Capacidad para apartar el dolor,https://multimedia.elsevier.es/PublicationsMultimediaV1/item/multimedia/S0212656715003406:mmc2.pdf?idApp=UINPBA00004N,≥ 18 años ,Pacientes con dolores crónicos,≤10 minutos,13,"MG30",Bienestar físico
PHQ-9,	Patient Health Questionnaire,,Instrumento diseñado para dar apoyo al diagnóstico de la depresión y determinar su nivel de gravedad. También puede utilizarse para observar los cambios experimentados por el paciente a lo largo del tiempo.,Depresión,https://pubmed.ncbi.nlm.nih.gov/11485122/ ,A partir de los 18 años,,≤10 minutos,9,6A7,Bienestar mental
PSS,Perceived Stress Scale,,,Estrés percibido,https://biadmin.cibersam.es/Intranet/Ficheros/GetFichero.aspx?FileName=466_0fcf150b-b08b-46a1-9f69-dc287bec1d54.pdf   ,≥18 años,,≤10 minutos,14,MT1,Bienestar mental
RAP,Respiratory Allergy Prediction,Contesta de acuerdo a como te has sentido este ultimo mes , Este cuestiona fue diseñado para identificar pacientes con síntomas de rinitis que probablemente tienen una alergia respiratoria subyacente, calidad de vida en RINITIS Y ASMA,https://www.all-imm.com/index.php/aei/article/view/233/199,Apartir de 18 años.,,≤10 minutos,8,CA00 y CA08,Bienestar físico
RSES,Escala de Autoestima de Rosenberg,,Escala utilizada para valorar la autoestima en adolescentes,Autoestima,https://www.revistas.unam.mx/index.php/rlmc/article/view/55207 ,12-18 años,,≤10 minutos,10,MB28.9,Bienestar social y mental
SARC-F,SARC-F,,,Sarcopenia,Tests FrailSarcf_WEB_2,> 60*,Población con sospecha clínica o que cumplan criterio de edad,-,5,"FB32.Y, 8E4A.3**",Bienestar físico y nutricional
SF-12,12-Item Short-Form Health Survey,," Reducción del instrumento SF-36, evalúa la Calidad de Vida relacionada con la Salud (CVRS). ",Funcionamiento y calidad de vida,https://www.scielo.cl/pdf/rmc/v149n9/0717-6163-rmc-149-09-1292.pdf ,A partir de los 16 años,,≤10 minutos,12,,Bienestar físico y mental
SOAPP-R,Cuestionario de detección y evaluación de opioides para pacientes con dolor,Responda cada pregunta con la mayor sinceridad posible. No hay respuestas correctas ni incorrectas,Es un cuestionario predecir comportamientos aberrantes relacionados con la medicación en pacientes con dolor crónico considerados para terapia con opioides a largo plazo,Uso de opioides,https://www.gamo-smeo.com/previous/archivos/2016/GAMO_V15_Supl_1.pdf,≥18 años,Pacientes con tratamiento opiaceo ,≤10 minutos,24,"QE11.0, 6C43.2",Bienestar físico y mental
SPIN,Inventario de Fobia Social,,Inventario que mide los síntomas conductuales fisiológicos y cognitivos asociados con la fobia social.,Fobia social,https://pubmed.ncbi.nlm.nih.gov/10827888/ ,≥12,,≤10 minutos,17,6804,Bienestar social y mental
SSBQ,Cuestionario de comportamiento sexual seguro,A continuación se presenta una lista de prácticas sexuales. Lea cada afirmación y responda indicando  su grado de uso de estas prácticas,El Cuestionario de Conducta Sexual Segura (SSBQ) fue diseñado para medir la frecuencia de uso de prácticas recomendadas que reducen el riesgo de exposición y transmisión del VIH.,Comportamientos sexuales,Safer Sex Behavior Questionnaire (SSBQ) | Measures Library,≥ 12 años,Personas con vida sexual activa,≤10 minutos,27,HA8Z,Bienestar físico y social
T-­ACE,"Tolerance, Annoyance, Cut down, Eye-opener",Lea las preguntas y conteste con sinceridad,es una herramienta breve de detección diseñada para identificar el consumo de alcohol de riesgo especialmente en mujeres embarazadas,Alcoholimo en el embarazo ,https://pmc.ncbi.nlm.nih.gov/articles/PMC2965701/,mujeres embarazadas,mujeres embarazadas,2 - 3 minutos ,4,,Bienestar físico
TAI,Test de adhesión a inhaladores,"Lea detenidamente cada pregunta y  señale  la opción que mejor describa su
experiencia personal. Conteste todas las preguntas con la mayor sinceridad.","Este cuestionario se ha diseñado para valorar las dificultades para seguir el tratamiento con inhaladores de las personas con
asma o EPOC",Adhesión al tratamiento,https://www.taitest.com/docs/Guia_Usuario_TAI_ES.pdf,≥18 años,Mayores de edad con diagnóstico de EPOC o enfermedad respiratoria,≤10 minutos,10,-,Bienestar físico
TAS-20,Escala de Alextimia de Toronto,,"Escala que evalúa la presencia de alexitimia, esto es, la capacidad de los sujetos para identificar y describir emociones.",Alexitimia,https://www.revistas.unam.mx/index.php/repi/article/view/18555 ,18-59 años,,≤10 minutos,20,,Bienestar mental
,,,,,,,,,,,
VAPE,Adicción de VAPE,Utiliza las siguientes preguntas como una autoevaluación para reflexionar sobre tu nivel de dependencia al vapeo,Es un test para saber el nivel de dependencia que se tiene al VAPE,Adicción a vapeadores/cigarros electrónicos,https://digitalmedia.hhs.gov/tobacco/educator_hub/lesson_plans/risks_of_vaping_magazine_lesson_plan/signs_of_vaping_addiction?locale=es,≥15 años,Consumidores de vape,≤5 minutos,7,QE1Y,Bienestar físico y mental
VFQ-25,Visual Function Quality 25,"Lea detenidamente cada pregunta y  señale  la opción que mejor describa su
experiencia personal. Conteste todas las preguntas con la mayor sinceridad.",Es un instrumento de medición diseñado para evaluar la calidad de vida relacionada con la visión en personas con enfermedades oculares o pérdida visual,Función visual ,https://www.medigraphic.com/pdfs/revcuboft/rco-2017/rco171i.pdf ,≥ 18 años ,Apto para todo publico ,≤10 minutos,25,-----,Bienestar físico
WOMAC,Western Ontario and McMaster Universities Osteoarthritis Index,"Lea detenidamente cada pregunta y  señale  la opción que mejor describa su
experiencia personal. Conteste todas las preguntas con la mayor sinceridad."," cuestionario  utilizado para medir el dolor, la rigidez y la discapacidad física en pacientes con osteoartritis (OA) de cadera y rodilla","evaluar el dolor, la rigidez y la capacidad funcional respecto a la artrosis",https://www.medigraphic.com/pdfs/fisica/mf-2014/mf141b.pdf,≥ 30 años ,Apto para todo publico ,≤10 minutos,24,"FA00, FA01 ",Bienestar físico
,Cuestionario Roland-Morris,"Cuando le duele la espalda, puede que le resulte difícil hacer algunas cosas que hace habitualmente. Marque solo las frases que le describan hoy.",El cuestionario de Roland-Morris sirve para determinar el grado de incapacidad física derivado de la lumbalgia inespecífica,Efectos del dolor lumbar,https://multimedia.elsevier.es/PublicationsMultimediaV1/item/multimedia/S0212656715003406:mmc2.pdf?idApp=UINPBA00004N,≥ 18 años ,Pacientes con lumbagia,≤15 minutos,24,"ME84.2
",Bienestar físico
,Identificación y análisis de los factores de riesgo psicosocial y evaluación del entorno organizacional en los centros de trabajo,,,Acoso laboral,https://somosmina.com/wp-content/uploads/2024/06/Mina-Cuestionario-Acoso-Laboral-Nom-035-Guia-de-Referencia-III.pdf,≥ 18 años ,Pacientes con empleo,20-30 minutos,72,XE4P2,Bienestar físico y social
,Test de Ishihara,1. Siéntate aproximadamente a una distancia de 75 cm de tu monitor.  2. Preferiblemente realiza el test con una luz natural suave y sin reflejos en tu pantalla. Las luces interiores y reflejos pueden alterar el color de las imágenes.3. Trata de identificar el número oculto o línea antes de 5 segundos,"La prueba evalúa la capacidad del paciente para percibir y distinguir colores, detectando principalmente el daltonismo rojo-verde, que es la forma más común de deficiencia visual de color. ",Daltonismo,https://cienciauanl.uanl.mx/ojs/index.php/revista/article/view/78/113,Apartir de los 5 años,Personas que pueden leer números incluyendo pediatricos.,≤10 minutos,8,9D53,Bienestar físico
SWLS,Escala de satisfacción con la vida,,Escala enfoca en conocer la satisfacción con la vida de los pacientes ,Satisfacción con la vida,https://revistas.unisimon.edu.co/index.php/psicogente/article/view/3468,≥15 años,,≤5 minutos,5,,Bienestar mental
